MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
THE HOME DEPOT 2721,86.48,6/22/2010
DAKTRONICS INC.,846.5,6/22/2010
LOWES #00734*,9.96,6/22/2010
LOWES #00734*,12.46,6/22/2010
LOWES #00734*,135.58,6/22/2010
MICHON,50.48,6/22/2010
MICHON,50.87,6/22/2010
MICHON,50.09,6/22/2010
SUNWAY INC.,44.75,6/22/2010
ALRO STEEL CORPORATION,45.8,6/22/2010
JOANN ETC #2004,30.71,6/22/2010
NEW LAWN SOD FARM INC,111,6/23/2010
USPS 25028195520402QPS,3.15,6/23/2010
WASHTENAW CTY RGSTR DE,188,6/23/2010
GFS MKTPLC #0868 QPS,36.04,6/23/2010
THE HOME DEPOT 2721,-19.88,6/23/2010
ART VAN FURNITURE,1200,6/23/2010
BUY.COM,356.98,6/23/2010
FORESTRY SUPPLIERS,585.41,6/23/2010
LARRY'S MOWER SHOP INC,87.56,6/23/2010
STADIUM HARDWARE,16,6/23/2010
FASTENAL CO-RETAIL,74.99,6/23/2010
LARRY'S MOWER SHOP INC,474.51,6/23/2010
STADIUM HARDWARE,59.88,6/23/2010
SHUTTERSTOCK.COM,224,6/23/2010
TABLES N CHAIRS.COM LL,1744,6/23/2010
BEST BUY MHT 00004085,329.96,6/23/2010
CARPENTER BROS HAR,79.16,6/23/2010
SKILLBUILDER/ACTIONSPO,1084.19,6/23/2010
CRYSTAL MTN LODGING,272.1,6/24/2010
USPS 25028101030400QPS,6.98,6/24/2010
JOANN ETC #2004,58.95,6/24/2010
MICHAELS #2108,41.77,6/24/2010
GFS MKTPLC #0868 QPS,55.02,6/24/2010
ADVANCED PETRO INC Q39,10,6/24/2010
S&S WORLDWIDE,17.29,6/24/2010
THE HOME DEPOT 2721,363.78,6/24/2010
RITE AID STORE 4510Q05,4.93,6/24/2010
PLUM MARKET - ANN,4.29,6/24/2010
FORESTRY SUPPLIERS,47.35,6/24/2010
ANNARBORWELDINGSUPPLYC,47.54,6/24/2010
WASHTENAW MILK ICE QPS,22,6/24/2010
STADIUM HARDWARE,18.74,6/24/2010
GETTYSBURG FLAG WORKS,540.45,6/24/2010
ANN ARBOR CARPETS & FI,11.18,6/24/2010
UNDERGROUND PRINTING,1052.74,6/24/2010
SWIMOUTLET.COM,98.45,6/24/2010
STADIUM HARDWARE,9.99,6/24/2010
CARPENTER BROS HAR,53.63,6/25/2010
PARKING & TRANS SERVIC,129,6/25/2010
DUNHAMS SPORTS00000448,129.99,6/25/2010
DUNHAMS SPORTS00000265,-22.96,6/25/2010
ZINGERMANSCOFFEECOWHSL,101.35,6/25/2010
KMART 4105,19.42,6/25/2010
SCHOOL TECH INC,91.5,6/25/2010
SPARTAN DISTRIBUTORS,104.89,6/25/2010
WW GRAINGER,52.3,6/25/2010
WW GRAINGER,18.47,6/25/2010
FASTENAL CO-RETAIL,34.98,6/25/2010
WATER PROGRAM,111,6/25/2010
MARINE CORP ASSOC-PD,112.08,6/25/2010
LOWES #00734*,-2.84,6/25/2010
LOWES #00734*,50.23,6/25/2010
LOWES #00734*,162.3,6/25/2010
KROGER #605 Q66,7.96,6/25/2010
BUSCH'S #1048,35.2,6/25/2010
STADIUM TROPHY,250.74,6/25/2010
MD BAGEL FRAGEL,30.94,6/25/2010
MD BAGEL FRAGEL,30.94,6/25/2010
PANERA BREAD #878 Q53,6.23,6/26/2010
MEIJER INC #109 Q01,2.99,6/26/2010
NAPA AUTO PARTS,7.38,6/26/2010
KROGER #605 Q66,11.95,6/26/2010
S & R SPORT,987.95,6/27/2010
SUNWAY INC.,77.44,6/27/2010
BUSCH'S #1048,63.52,6/27/2010
TURFGRASS INC,800,6/28/2010
TURFGRASS INC,270,6/28/2010
TURFGRASS INC,480,6/28/2010
ANN ARBOR HANDS ON MUS,110,6/28/2010
STADIUM HARDWARE,27.98,6/28/2010
BUYONLINENOW.COM,202,6/28/2010
TARGET 00012856,-12.34,6/28/2010
RECREONICS,2315.26,6/28/2010
KIRK KEY INTERLOCK CO,35.13,6/28/2010
VOGEL'S LOCK & SAFE,84,6/28/2010
REI 124 ANN ARBOR,50,6/28/2010
SPARTAN DISTRIBUTORS,109.09,6/28/2010
LARRY'S MOWER SHOP INC,52.89,6/28/2010
FBI NATIONAL ACADEMY,77,6/28/2010
MYERS TIRE SUPPLY,42.95,6/28/2010
SHERWIN WILLIAMS #1184,216.69,6/28/2010
NAPA AUTO PARTS,83.02,6/28/2010
THE HOME DEPOT 2721,129,6/28/2010
GRAND HOTEL,-610.35,6/28/2010
PARKING & TRANS SERVIC,2247.84,6/28/2010
GFS MKTPLC #0868 QPS,93.71,6/29/2010
FINGERLE LUMBER CO,9.98,6/29/2010
VOGELS AND FOSTERS,137.79,6/29/2010
SYX*GLOBALINDUSTRIALEQ,326.88,6/29/2010
STATE POL CASHIER CHRG,645,6/29/2010
LOWES #00734*,67.84,6/29/2010
USPS 25028095520400QPS,31.68,6/29/2010
KROGER #721 Q66,114.84,6/29/2010
LOGICKEYBOARDBSP EURO,49.85,6/29/2010
DATA MEDIA PRODUCTS IN,176.6,6/29/2010
WASHTENAW MILK ICE QPS,22,6/29/2010
PIEDMONT PLASTICS GP 2,2819,6/29/2010
KROGER #790 Q66,13.62,6/29/2010
VOGEL'S LOCK & SAFE,11.25,6/29/2010
CURRENT MOTOR ELECTRIC,146.5,6/29/2010
MEIJER INC #173 Q01,21.1,6/29/2010
HARDWARE DISTRIBUTORS,238.07,6/29/2010
SEC OF STATE BRANCH109,102,6/29/2010
JOANN ETC #2004,29.43,6/29/2010
PITNEY BOWES*,-8.68,6/29/2010
PITNEY BOWES*,8.8,6/29/2010
USPS 25028295520401QPS,39.6,6/29/2010
APL*APPLEONLINESTOREUS,82.68,6/29/2010
APL*APPLEONLINESTOREUS,41.34,6/29/2010
AT&T,25,6/29/2010
LOWES #01750*,494,6/29/2010
LOWES #01750*,38.93,6/29/2010
TARGET 00012856,-13.58,6/30/2010
AKA*ADOLF KIEFER ASSOC,218.51,6/30/2010
THE HOME DEPOT 2721,496.97,6/30/2010
TARGET 00012856,75.95,6/30/2010
LOWES #00734* Q01,24.97,6/30/2010
LOWES #00734*,48.99,6/30/2010
IKEA CANTON,399,6/30/2010
LARRY'S MOWER SHOP INC,108.77,6/30/2010
ACE BARNES HARDWAREQPS,51.89,6/30/2010
COUNTRY INN & SUITES,70.2,6/30/2010
LARRY'S MOWER SHOP INC,999.9,6/30/2010
PIEDMONT PLASTICS GP 2,88.17,6/30/2010
CARPENTER BROS HAR,20.97,6/30/2010
WASHTENAW SAND AND QPS,1625,6/30/2010
THE HOME DEPOT 2721,198,6/30/2010
KNUTSONS RECREATIONAL,80.5,6/30/2010
REI 124 ANN ARBOR,116,6/30/2010
BUSCH'S #1035,27.57,6/30/2010
WASHTENAW SAND AND QPS,1625,6/30/2010
ARBOR VACUUM AND SMALL,53.85,6/30/2010
MEIJER INC #109 Q01,29.95,7/1/2010
STADIUM HARDWARE,30.24,7/1/2010
JOHN E REID & ASSOC IN,-175,7/1/2010
TARGET 00003541,94.81,7/1/2010
ZINGERMANSCOFFEECOWHSL,43.75,7/1/2010
PREMIERE SPORTS INC,182.88,7/1/2010
PREMIERE SPORTS INC,170.68,7/1/2010
PREMIERE SPORTS INC,146.3,7/1/2010
PREMIERE SPORTS INC,109.72,7/1/2010
PREMIERE SPORTS INC,97.53,7/1/2010
PREMIERE SPORTS INC,207.26,7/1/2010
PREMIERE SPORTS INC,121.92,7/1/2010
PREMIERE SPORTS INC,182.91,7/1/2010
ANDERSON PAINT COMPANY,39.04,7/1/2010
CARPENTER BROS HAR,40.98,7/1/2010
STADIUM HARDWARE,85.95,7/1/2010
ASLA MEMBER SERVICES,393,7/1/2010
MICHON,130.97,7/1/2010
MICHON,148.9,7/1/2010
MICHON,1.75,7/1/2010
ANN ARBOR CARPETS & FI,106.8,7/1/2010
THE HOME DEPOT 2721,549,7/1/2010
